restaurant_code,tag_code
RES0066,TAG0054
RES0066,TAG0108
RES0066,TAG0024
RES0066,TAG0065
RES0066,TAG0044
RES0066,TAG0126
RES0066,TAG0098
RES0066,TAG0001
RES0067,TAG0108
RES0067,TAG0142
RES0067,TAG0024
RES0067,TAG0065
RES0067,TAG0041
RES0067,TAG0078
RES0067,TAG0015
RES0067,TAG0021
RES0067,TAG0103
RES0068,TAG0034
RES0068,TAG0087
RES0068,TAG0068
RES0068,TAG0028
RES0068,TAG0021
RES0069,TAG0054
RES0069,TAG0117
RES0069,TAG0024
RES0069,TAG0065
RES0069,TAG0110
RES0069,TAG0029
RES0069,TAG0008
RES0069,TAG0098
RES0070,TAG0019
RES0070,TAG0051
RES0070,TAG0057
RES0070,TAG0015
RES0071,TAG0092
RES0071,TAG0108
RES0071,TAG0065
RES0071,TAG0100
RES0071,TAG0001
RES0072,TAG0035
RES0072,TAG0106
RES0073,TAG0054
RES0073,TAG0108
RES0073,TAG0024
RES0073,TAG0065
RES0073,TAG0139
RES0073,TAG0082
RES0073,TAG0008
RES0073,TAG0049
RES0074,TAG0105
RES0074,TAG0108
RES0074,TAG0024
RES0074,TAG0065
RES0074,TAG0061
RES0074,TAG0129
RES0074,TAG0044
RES0074,TAG0021
RES0074,TAG0008
RES0075,TAG0108
RES0075,TAG0059
RES0075,TAG0065
RES0075,TAG0068
RES0075,TAG0023
RES0075,TAG0039
RES0075,TAG0021
RES0075,TAG0084
RES0076,TAG0108
RES0076,TAG0095
RES0076,TAG0065
RES0076,TAG0139
RES0076,TAG0111
RES0076,TAG0015
RES0076,TAG0008
RES0076,TAG0084
RES0077,TAG0054
RES0077,TAG0035
RES0077,TAG0065
RES0077,TAG0057
RES0077,TAG0015
RES0077,TAG0127
RES0077,TAG0084
RES0078,TAG0035
RES0078,TAG0036
RES0078,TAG0107
RES0079,TAG0054
RES0079,TAG0030
RES0079,TAG0024
RES0079,TAG0065
RES0079,TAG0107
RES0079,TAG0097
RES0080,TAG0108
RES0080,TAG0019
RES0080,TAG0024
RES0080,TAG0057
RES0080,TAG0061
RES0080,TAG0021
RES0080,TAG0008
RES0081,TAG0125
RES0081,TAG0030
RES0081,TAG0024
RES0081,TAG0065
RES0081,TAG0139
RES0081,TAG0111
RES0081,TAG0015
RES0081,TAG0012
RES0081,TAG0100
RES0082,TAG0046
RES0082,TAG0070
RES0082,TAG0024
RES0082,TAG0065
RES0082,TAG0107
RES0082,TAG0093
RES0083,TAG0108
RES0083,TAG0077
RES0083,TAG0024
RES0083,TAG0065
RES0083,TAG0040
RES0083,TAG0061
RES0083,TAG0008
RES0083,TAG0084
RES0084,TAG0054
RES0084,TAG0007
RES0084,TAG0065
RES0084,TAG0088
RES0084,TAG0100
RES0084,TAG0049
RES0085,TAG0030
RES0085,TAG0027
RES0085,TAG0139
RES0085,TAG0039
RES0085,TAG0015
RES0085,TAG0127
RES0085,TAG0001
RES0086,TAG0027
RES0086,TAG0138
RES0086,TAG0017
RES0086,TAG0107
RES0087,TAG0054
RES0087,TAG0007
RES0087,TAG0065
RES0087,TAG0015
RES0087,TAG0127
RES0088,TAG0132
RES0088,TAG0035
RES0088,TAG0128
RES0088,TAG0107
RES0088,TAG0086
RES0089,TAG0030
RES0089,TAG0108
RES0089,TAG0065
RES0089,TAG0061
RES0089,TAG0015
RES0089,TAG0008
RES0089,TAG0107
RES0090,TAG0009
RES0090,TAG0016
RES0090,TAG0057
RES0090,TAG0127
RES0091,TAG0027
RES0091,TAG0030
RES0091,TAG0015
RES0092,TAG0054
RES0092,TAG0142
RES0092,TAG0065
RES0092,TAG0039
RES0092,TAG0045
RES0092,TAG0098
RES0092,TAG0001
RES0093,TAG0054
RES0093,TAG0027
RES0093,TAG0024
RES0093,TAG0068
RES0093,TAG0008
RES0094,TAG0108
RES0094,TAG0099
RES0094,TAG0024
RES0094,TAG0065
RES0094,TAG0015
RES0094,TAG0100
RES0094,TAG0075
RES0095,TAG0105
RES0095,TAG0120
RES0095,TAG0057
RES0095,TAG0029
RES0095,TAG0044
RES0095,TAG0109
RES0095,TAG0093
RES0096,TAG0054
RES0097,TAG0072
RES0097,TAG0107
RES0098,TAG0138
RES0098,TAG0071
RES0098,TAG0057
RES0098,TAG0015
RES0099,TAG0035
RES0099,TAG0036
RES0099,TAG0065
