restaurant_code,menu_name,price,description
5,솜사탕 젤라또컵,5000,"솜사탕 젤라또에 톡톡 터지는 팝핑캔디를 더해 재미있게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,애플시나몬 젤라또컵,5000,"와플대학의 스테디셀러 애플 시나몬 와플을 시원하게 즐길 수 있는 젤라또 컵
(보냉백 무상 제공)"
5,젤라또컵,4800,"토핑 없이 와플대학만의 10가지 젤라또 본연의 맛을 즐길 수 있는 젤라또 컵
(보냉백 무상 제공)"
5,치즈케이크젤라또컵,6000,"와플대학만의 10가지 젤라또에 치즈케이크를 더해 진한 맛의 젤라또 컵
(보냉백 무상 제공)"
5,크런치딸기잼젤라또컵,5500,"와플대학만의 10가지 젤라또에 크런치와 초코시럽, 딸기시럽을 더해 바삭하게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,블루베리젤라또컵,5500,"와플대학만의 10가지 젤라또에 블루베리와 블루베리시럽을 더해 달콤하게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,베리베리젤라또컵,5500,"와플대학만의 10가지 젤라또에 크랜베리와 블루베리, 딸기시럽을 더해 상큼하게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,팥젤라또컵,5000,"와플대학만의 10가지 젤라또에 팥앙금과 연유, 미숫가루 파우더를 더해 고소하게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,오레오젤라또컵,5000,"와플대학만의 10가지 젤라또에 초코크런치와 초코시럽을 더해 달콤하게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,딸기젤라또컵,6500,"와플대학만의 10가지 젤라또에 생딸기와 딸기시럽을 더해 산뜻하게 즐기는 젤라또 컵
(보냉백 무상 제공)"
5,두바이초코 스노우와플,10400,"진한 초코크림과 고소한 피스타치오, 바삭한 카다이프가 듬뿍. 화이트크림을 더해 더욱 부드럽고 고급스러운 프리미엄 와플"
5,아메리카노,3500,와플대학만의 블랜딩으로 즐기는 아메리카노
5,카페라떼,4000,와플대학만의 블랜딩에 우유를 더해 부드럽게 즐기는 카페 라떼
5,카페모카,4500,와플대학만의 블랜딩에 초코를 더해 달콤하게 즐기는 카페 모카
5,카라멜라떼,4500,와플대학만의 블랜딩에 카라멜을 더해 달콤하게 즐기는 카라멜 라떼
5,바닐라라떼,4500,와플대학만의 블랜딩에 바닐라를 더해 달콤하게 즐기는 바닐라 라떼
5,하얀 연유라떼 (HOT/ICE),4500,"와플대학만의 블랜딩에 연유를 더해 부드럽고, 달콤하게 즐기는 하얀 연유 라떼"
5,디카페인 콜드브루,4500,디카페인으로 즐기는 와플대학만의 디카페인 콜드브루
5,디카페인 콜드브루 라떼,5000,디카페인으로 즐기는 와플대학만의 디카페인 콜드브루 카페 라떼
5,애플시나몬티,4100,와플대학의 스테디셀러 애플 시나몬 와플을 차로 즐길 수 있는 애플 시나몬 티
5,빨간 사과 유자차,4500,빨간 애플티를 더해 향긋함이 2배 빨간 사과 유자차
5,두바이초코 젤라또컵,8000,"초코젤라또와 피스타치오의 달콤한 조합, 바삭한 카다이프가 듬뿍 들어간 프리미엄 젤라또컵"
5,딸기 라떼(ICED ONLY),5000,국내산 논산 딸기를 사용해 더 달콤한 딸기 라떼
5,캐모마일,3500,부드럽고 은은한 캐모마일 차
5,고구마라떼,4300,고구마에 우유를 더해 달콤하고 든든한 고구마 라떼
5,로얄밀크티라떼,4300,"홍차에 우유를 더해 부드럽고, 풍부한 풍미를 즐길 수 있는 로얄 밀크티 라떼"
5,그린티라떼,4100,녹차에 우유를 더해 부드럽게 즐기는 그린티 라떼
5,리얼초코라떼,4100,초코에 우유를 더해 진한 초콜릿의 풍미를 즐길 수 있는 리얼 초코 라떼
5,유자차,3500,상큼 달콤한 유자차
5,자몽차,3500,달콤 쌉싸름한 자몽차
5,베이비치노(Hot Only),2300,어린이 손님을 위해 준비한 따뜻한 우유
5,(원액) 디카페인 콜드브루 300ml,12000,어디서든 간편하게 즐길 수 있는 와플대학의 디카페인 콜드브루
5,두바이초코 생딸기젤라또컵,8900,"초코젤라또와 피스타치오의 달콤한 조합, 상큼한 딸기와 바삭한 카다이프가 듬뿍 들어간 프리미엄 젤라또컵"
5,복숭아주스,4200,향긋하고 달콤한 복숭아 주스
5,자두에이드,3500,새콤 달콤한 자두를 시원하게 즐길 수 있는 자두 에이드
5,애플시나몬티에이드,4500,와플대학의 스테디셀러 애플 시나몬 와플을 에이드로 즐길 수 있는 애플 시나몬 티 에이드
5,와숫가루라떼(ICED ONLY),4100,"와플대학만의 미숫가루 파우더에 우유를 더해 달콤하고, 든든하게 즐길 수 있는 와숫가루 라떼"
5,디카페인프라페(ICED ONLY),6000,디카페인 콜드브루에 부드러운 연유를 더해 시원하게 즐길 수 있는 디카페인 프라페
5,딸기 에이드,4500,달콤한 딸기를 시원하게 즐길 수 있는 딸기 에이드
5,복숭아자두스무디,4700,복숭아에 자두를 더해 향긋 상큼한 복숭아 자두 스무디
5,딸기자두스무디,4700,딸기에 자두를 더해 상큼 달콤한 딸기 자두 스무디
5,플레인요거치노,4500,상큼 달콤한 요거트를 시원하게 즐기는 플레인 요거치노
5,블루베리요거치노,4700,상큼 달콤한 요거트에 블루베리를 더해 시원하게 즐기는 블루베리 요거치노
5,딸바누텔라 젤라또와플,8300,"딸기랑 바나나가 바닐라 젤라또 속에 퐁당, 누텔라와 풍부한 생과일이 만나 입안 가득 행복이 번지는 와플"
5,망고요거치노,4700,상큼 달콤한 요거트에 망고를 더해 시원하게 즐기는 망고 요거치노
