restaurant_code,reviewer_name,reviewer_avg_score,reviewer_rv_cnt,reviewer_follower_cnt,reviewer_score,taste_level,price_level,service_level,review_content,review_menu,keywords
15,고모부광혀니,5.0,1,0,5점,2,2,2,"기본안주에 1인1잔 잔사케까지
그리고 저렴한 가격에 음식과 맛있는 하이볼도
마실수 있는 가게는 처음봅니다.
너무너무너무 친절하셔서 기분도 좋았어요
기념일날 방문했는데 너무 맛있게 잘먹고
갑니다. 또 올께요!!","한우육회,우니 타르타르,우니,단새우,관자삼합,게내장 크림 우동파스타,치킨난반","저녁식사,식사모임,술모임,데이트,기념일,숨은맛집,고급스러운,가성비좋은,푸짐한,깔끔한,이국적/이색적,7시이전 방문 1+1 이벤트,비오는날 미니김치전,부추전 제공,네이버예약시 생선튀김제공,기본안주 및 무료잔사케1인1잔제공"
15,서나라구,4.5,233,4,5점,2,1,2,"처음 왔는데 잔도 다양하게 고르라그러고(잔이 먼지쌓여보였던건 안비밀;;;)
메뉴도 맛있고 리뷰이벤트 추억의뽑기도 있고
즐겁게 보내다 왔네요","치킨난반,깐풍가지튀김","식사모임,술모임,혼밥,혼술,기념일,데이트,접대,가족외식,간식,실버푸드,숨은맛집,캐주얼한,고급스러운,격식있는,가성비좋은,푸짐한,시끌벅적한,깔끔한,이국적/이색적,지역주민이찾는,주차불가"
15,밍민,4.8,232,2,4.5점,2,2,2,깔끔하고 고급스럽네요 음식도 맛있고 블랙올리브 좋아하는데 나와서 좋았어요,난코츠&닭껍질튀김,저녁식사
15,서넝,4.4,54,0,5점,2,2,2,진짜 맛있고 기본적으로 요리를 잘 하는 것 같아요!! 너무너무 만족스러운 맛집 심지어 진짜 친절하셔요,"게내장 크림 우동파스타,치킨난반,후토마끼1p","술모임,숨은맛집,고급스러운,깔끔한"
15,따줘,4.5,134,1,5점,2,2,2,"여러가지가 다양하게 다 맛있고 친점하기도
하셔서 기분좋게 한잔 하고 갑니다~",치킨난반,"술모임,숨은맛집"
16,꼬모별이,4.4,86,1,4점,2,1,1,"이사가고 멀어저서 오랜만에 방문했어요
리모델링해서 테이블로 변경되서 먹기편해저서 좋았는데 가격은 올랐고 김치맛이 예전처럼 맛있진 않았어요
칼국수가 워낙 푸짐하도고 맛있고 공기밥도 달라고하면 추가로 줍니다.비오는날 먹기 딱 좋고 점심,저녁때가면 항상 웨이팅이 있으니 피해가세요",바지락칼국수,"아이동반,점심식사,서민적인,지역주민이찾는,주차불가"
16,서나라구,4.5,233,4,5점,2,2,2,"예전엔 좌식이었는데 의자앉아서 먹을수있게 바꼈어요
예전에 신발벗고앉아서 다먹고 다리저렸는데 불편함이 없어졌어요
메뉴도 단일메뉴라 빨리나오고 양도 정말푸짐해요",칼국수,"아침식사,점심식사,저녁식사,식사모임,혼밥,데이트,회식,가족외식,숨은맛집,서민적인,캐주얼한,가성비좋은,조용한,푸짐한,깔끔한,지역주민이찾는,주차불가"
16,"다코미식가
spinni",3.8,147,463,3점,1,2,1,"7호선 신대방삼거리역 6번 출구에 위치한 줄서서 먹기로 소문난 칼국수 집.한 요리하시는 지인께서 아플때도 생각나 온다며 오래 전부터 맛집으로 추천했던 곳이라 사실 기대보다 더한, 믿어 의심치않는 확신을 갖고 방문했습니다.
또 올라온 평가중 '가끔 미친듯이 여기 칼국수 먹고싶다'가 확 끌어당기기도~작은 식당내 좌식 테이블들 옹기종기
코로나 여파로 휑하니 한산한 다른 집들과 달리, 다행히 긴 줄서기는 없었지만 점심시간 맞아 금새 만석이 되더군요.흡사 세숫대야만한 커다란 그릇에 그득 담긴 칼국수.   ""2인분 맞지?"" 
일행과 함께 깜짝 놀라 국자로 휘휘~
'다행이다' 면은 적당히! 
그러나 대신 바지락은 왕창 산더미!""이 껍질 언제 다 까지?!""
먹기 전 눈 앞에 직시되는 노동력 감지에 배시시 새어나오는 즐거운...더보기",바지락칼국수,"아이동반,점심식사,저녁식사,식사모임,서민적인,가성비좋은,푸짐한,시끌벅적한,지역주민이 찾는"
16,먼지님,4.5,532,47,5점,2,2,2,"오래된 칼국수집이에요
의자로 바뀌고 첨 방문했네요
국물이 너무 맛있어요
면도 쫄깃~~",칼국수,"점심식사,서민적인,조용한,주차불가"
16,바람개비,3.9,488,3,4점,2,2,2,11시30분에 갔는데도 웨이팅해야할 정도로 동네맛집입니다. 양도 많고 간도 딱 맞아서 자주 오고 싶어요.,칼국수,"저녁식사,점심식사,서민적인,숨은맛집"
